DateTime,Value
2023-04-02T21:00:00,47.980
2023-04-02T22:00:00,48.020
2023-04-02T23:00:00,48.020
2023-04-03T00:00:00,48.050
2023-04-03T01:00:00,48.060
2023-04-03T02:00:00,48.120
2023-04-03T03:00:00,48.120
2023-04-03T04:00:00,48.170
2023-04-03T05:00:00,48.170
2023-04-03T06:00:00,48.210
2023-04-03T07:00:00,48.420
2023-04-03T08:00:00,48.450
2023-04-03T09:00:00,48.460
2023-04-03T10:00:00,48.490
2023-04-03T11:00:00,48.510
2023-04-03T12:00:00,48.510
2023-04-03T13:00:00,48.550
2023-04-03T14:00:00,48.490
2023-04-03T15:00:00,48.500
2023-04-03T16:00:00,48.530
2023-04-03T17:00:00,48.580
2023-04-03T18:00:00,48.590
2023-04-03T19:00:00,48.620
2023-04-03T20:00:00,48.640
2023-04-03T21:00:00,48.650
2023-04-03T22:00:00,48.680
2023-04-03T23:00:00,48.680
2023-04-04T00:00:00,48.700
2023-04-04T01:00:00,48.740
2023-04-04T02:00:00,48.740
2023-04-04T03:00:00,48.810
2023-04-04T04:00:00,48.780
2023-04-04T05:00:00,48.850
2023-04-04T06:00:00,48.830
2023-04-04T07:00:00,48.850
2023-04-04T08:00:00,48.890
2023-04-04T09:00:00,48.920
2023-04-04T10:00:00,48.850
2023-04-04T11:00:00,48.950
2023-04-04T12:00:00,48.940
2023-04-04T13:00:00,48.950
2023-04-04T14:00:00,48.990
2023-04-04T15:00:00,48.980
2023-04-04T16:00:00,49.010
2023-04-04T17:00:00,49.020
2023-04-04T18:00:00,49.070
2023-04-04T19:00:00,49.080
2023-04-04T20:00:00,49.070
2023-04-04T21:00:00,49.110
2023-04-04T22:00:00,49.140
2023-04-04T23:00:00,49.170
2023-04-05T00:00:00,49.160
2023-04-05T01:00:00,49.190
2023-04-05T02:00:00,49.170
2023-04-05T03:00:00,49.240
2023-04-05T04:00:00,49.250
2023-04-05T05:00:00,49.260
2023-04-05T06:00:00,49.290
2023-04-05T07:00:00,49.310
2023-04-05T08:00:00,49.320
2023-04-05T09:00:00,49.290
2023-04-05T10:00:00,49.340
2023-04-05T11:00:00,49.340
2023-04-05T12:00:00,49.390
2023-04-05T13:00:00,49.420
2023-04-05T14:00:00,49.410
2023-04-05T15:00:00,49.480
2023-04-05T16:00:00,49.480
2023-04-05T17:00:00,49.510
2023-04-05T18:00:00,49.500
2023-04-05T19:00:00,49.570
2023-04-05T20:00:00,49.570
2023-04-05T21:00:00,49.570
2023-04-05T22:00:00,49.580
2023-04-05T23:00:00,49.600
2023-04-06T00:00:00,49.630
2023-04-06T01:00:00,49.620
2023-04-06T02:00:00,49.670
2023-04-06T03:00:00,49.690
2023-04-06T04:00:00,49.690
2023-04-06T05:00:00,49.710
2023-04-06T06:00:00,49.740
2023-04-06T07:00:00,49.760
2023-04-06T08:00:00,49.780
2023-04-06T09:00:00,49.810
